card_id	quest_relevance	review_status	review_note	source
item.10th_squad_sigil.4035	Used during Monkey Madness I	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Monkey Madness I
item.acatzin_s_axe.30989	Used during Scrambled	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Scrambled
item.achey_tree_logs.2862	Used during Big Chompy Bird Hunting	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Big Chompy Bird Hunting
item.adamant-chainbody	Used during Song of the Elves	approved	Exact catalogue-name match to direct required-item rows; variants, recommendations, alternatives, teleports, diary/skill helpers and ambiguous quantity rows excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Song of the Elves
item.agility_potion.3038	Used during Tai Bwo Wannai Trio	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Tai Bwo Wannai Trio
item.air-rune	Used during Darkness of Hallowvale, Dragon Slayer II, Horror from the Deep, Spirits of the Elid, The Giant Dwarf, The Slug Menace, Underground Pass, Waterfall Quest and While Guthix Sleeps	approved	Direct required item; consolidated exact active-catalogue match	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Darkness of Hallowvale, Dragon Slayer II, Horror from the Deep, Spirits of the Elid, The Giant Dwarf, The Slug Menace, Underground Pass, Waterfall Quest and While Guthix Sleeps
item.air_orb.573	Used during While Guthix Sleeps	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: While Guthix Sleeps
item.air_talisman.1438	Used during Rune Mysteries	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Rune Mysteries
item.airtight_pot.4436	Used during One Small Favour and Swan Song	approved	Direct required-item associations reviewed across multiple Quest Helper quest definitions	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: One Small Favour; Swan Song
item.ale_yeast.5767	Used during Forgettable Tale…	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Forgettable Tale…
item.ammo_mould.4	Used during Between a Rock...	approved	Direct required-item associations reviewed across multiple Quest Helper quest definitions	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Between a Rock...
item.ana_in_a_barrel.1842	Used during The Tourist Trap	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: The Tourist Trap
